Time (s),RPM
1.25,0
1.35,71.31
1.45,166.27
1.55,65.83
1.65,111.41
1.75,163.43
1.85,86.44
1.95,144.51
2.05,145.27
2.15,118.22
2.25,131.46
2.35,130.71
2.45,126.92
2.55,136
2.65,131.27
2.75,134.87
2.85,136.19
2.95,135.81
3.05,138.27
3.15,137.89
3.25,139.6
3.35,139.79
3.45,140.92
3.55,141.11
3.65,142.24
3.75,142.24
3.85,143.38
3.95,143.38
4.05,143.95
4.15,144.14
4.25,145.08
4.35,144.51
4.45,145.65
4.55,145.65
4.65,146.03
4.75,146.41
4.85,146.6
4.95,146.97
5.05,146.6
5.15,147.92
5.25,146.97
5.35,148.3
5.45,146.97
5.55,148.87
5.65,147.73
5.75,148.11
5.85,148.68
5.95,148.3
6.05,148.49
6.15,148.87
6.25,149.05
6.35,148.68
6.45,149.05
6.55,149.24
6.65,149.05
6.75,149.05
6.85,148.87
6.95,149.81
7.05,148.68
7.15,150.19
7.25,149.05
7.35,149.43
7.45,149.81
7.55,149.43
7.65,149.43
7.75,150.19
7.85,149.62
7.95,149.62
8.05,150.19
8.15,149.43
8.25,149.81
8.35,149.24
8.45,149.81
8.55,150.19
8.65,149.43
8.75,149.81
8.85,150
8.95,149.43
9.05,149.81
9.15,150.19
9.25,149.62
9.35,149.81
9.45,150.19
9.55,149.62
9.65,149.81
9.75,150.19
9.85,149.62
9.95,149.62
10.05,150.38
10.15,149.43
10.25,150.57
10.35,150
10.45,149.81
10.55,150.19
10.65,149.43
10.75,150.76
10.85,149.05
10.95,150.19
11.05,149.81
11.15,149.81
11.25,150.19
11.35,150.38
11.45,149.43
11.55,150.57
11.65,149.81
11.75,149.81
11.85,150.19
11.95,149.62
12.05,150
12.15,150.19
12.25,150.19
12.35,149.81
12.45,150
12.55,150.19
12.65,149.81
12.75,149.81
12.85,150.19
12.95,150.38
13.05,149.62
13.15,149.81
13.25,150.38
13.35,149.62
13.45,149.81
13.55,150.38
13.65,149.81
13.75,149.81
13.85,150.19
13.95,150.19
14.05,150.19
14.15,149.62
14.25,149.81
14.35,150.19
14.45,150.19
14.55,150.19
14.65,149.62
14.75,149.62
14.85,151.13
14.95,149.24
15.05,150
15.15,150.57
15.25,149.62
15.35,150
15.45,150.19
