Time (s),RPM
2.6,41.61
2.61,41.61
2.62,41.61
2.63,43.51
2.64,45.4
2.65,47.29
2.66,47.29
2.67,49.18
2.68,49.18
2.69,51.07
2.7,52.96
2.71,52.96
2.72,54.85
2.73,56.75
2.74,56.75
2.75,58.64
2.76,58.64
2.77,62.42
2.78,60.53
2.79,62.42
2.8,66.2
2.81,64.31
2.82,66.2
2.83,68.1
2.84,69.99
2.85,68.1
2.86,71.88
2.87,71.88
2.88,73.77
2.89,73.77
2.9,75.66
2.91,77.55
2.92,77.55
2.93,79.45
2.94,79.45
2.95,81.34
2.96,83.23
2.97,85.12
2.98,85.12
2.99,85.12
3,87.01
3.01,88.9
3.02,90.79
3.03,90.79
3.04,90.79
3.05,92.69
3.06,96.47
3.07,94.58
3.08,96.47
3.09,96.47
3.1,98.36
3.11,100.25
3.12,102.14
3.13,100.25
3.14,104.04
3.15,105.93
3.16,104.04
3.17,107.82
3.18,105.93
3.19,109.71
3.2,109.71
3.21,111.6
3.22,113.49
3.23,111.6
3.24,115.38
3.25,115.38
3.26,117.28
3.27,117.28
3.28,121.06
3.29,119.17
3.3,121.06
3.31,122.95
3.32,122.95
3.33,126.73
3.34,124.84
3.35,126.73
3.36,128.63
3.37,128.63
3.38,132.41
3.39,130.52
3.4,132.41
3.41,136.19
3.42,134.3
3.43,138.08
3.44,136.19
3.45,139.97
3.46,139.97
3.47,141.87
3.48,141.87
3.49,145.65
3.5,143.76
3.51,145.65
3.52,147.54
3.53,147.54
3.54,151.32
3.55,149.43
3.56,149.43
3.57,151.32
3.58,151.32
3.59,151.32
3.6,151.32
3.61,151.32
3.62,153.22
3.63,153.22
3.64,149.43
3.65,153.22
3.66,151.32
3.67,151.32
3.68,149.43
3.69,153.22
3.7,149.43
3.71,153.22
3.72,149.43
3.73,153.22
3.74,151.32
3.75,149.43
3.76,151.32
3.77,151.32
3.78,151.32
3.79,151.32
3.8,151.32
3.81,151.32
3.82,149.43
3.83,153.22
3.84,149.43
3.85,151.32
3.86,151.32
3.87,151.32
3.88,151.32
3.89,151.32
3.9,151.32
3.91,151.32
3.92,151.32
3.93,149.43
3.94,153.22
3.95,149.43
3.96,153.22
3.97,149.43
3.98,151.32
3.99,151.32
4,151.32
4.01,151.32
4.02,149.43
4.03,151.32
4.04,151.32
4.05,151.32
4.06,151.32
4.07,151.32
4.08,151.32
4.09,149.43
4.1,153.22
4.11,149.43
4.12,151.32
4.13,151.32
4.14,151.32
4.15,149.43
4.16,151.32
4.17,151.32
4.18,151.32
4.19,151.32
4.2,151.32
4.21,151.32
4.22,151.32
4.23,149.43
4.24,153.22
4.25,149.43
4.26,151.32
4.27,151.32
4.28,151.32
4.29,151.32
4.3,151.32
4.31,149.43
4.32,153.22
4.33,149.43
4.34,151.32
4.35,151.32
4.36,151.32
4.37,149.43
4.38,153.22
4.39,149.43
4.4,153.22
4.41,149.43
4.42,151.32
4.43,151.32
4.44,151.32
4.45,151.32
4.46,151.32
4.47,149.43
4.48,151.32
4.49,151.32
4.5,151.32
4.51,151.32
4.52,151.32
4.53,149.43
4.54,151.32
4.55,151.32
4.56,151.32
4.57,151.32
4.58,151.32
4.59,149.43
4.6,153.22
4.61,149.43
4.62,151.32
4.63,151.32
4.64,151.32
4.65,149.43
4.66,153.22
4.67,149.43
4.68,151.32
4.69,151.32
4.7,151.32
4.71,149.43
4.72,151.32
4.73,151.32
4.74,151.32
4.75,151.32
4.76,151.32
4.77,149.43
4.78,151.32
4.79,151.32
4.8,149.43
4.81,153.22
4.82,149.43
4.83,151.32
4.84,151.32
4.85,151.32
4.86,151.32
4.87,149.43
4.88,151.32
4.89,151.32
4.9,151.32
4.91,151.32
4.92,149.43
4.93,153.22
4.94,149.43
4.95,151.32
4.96,151.32
4.97,151.32
4.98,151.32
4.99,149.43
5,151.32
5.01,151.32
5.02,151.32
5.03,151.32
5.04,149.43
5.05,151.32
5.06,151.32
5.07,151.32
5.08,151.32
5.09,151.32
5.1,149.43
5.11,153.22
5.12,149.43
5.13,151.32
5.14,151.32
5.15,151.32
5.16,149.43
5.17,151.32
5.18,151.32
5.19,151.32
5.2,149.43
5.21,153.22
5.22,149.43
5.23,151.32
5.24,151.32
5.25,149.43
5.26,153.22
5.27,149.43
5.28,151.32
5.29,151.32
5.3,151.32
5.31,151.32
5.32,149.43
5.33,151.32
5.34,151.32
5.35,151.32
5.36,151.32
5.37,149.43
5.38,151.32
5.39,151.32
5.4,151.32
5.41,151.32
5.42,149.43
5.43,151.32
5.44,151.32
5.45,151.32
5.46,151.32
5.47,149.43
5.48,153.22
5.49,149.43
5.5,151.32
5.51,151.32
5.52,151.32
5.53,149.43
5.54,153.22
5.55,149.43
5.56,151.32
5.57,151.32
5.58,151.32
5.59,151.32
5.6,151.32
5.61,149.43
5.62,153.22
5.63,149.43
5.64,151.32
5.65,151.32
5.66,151.32
5.67,149.43
5.68,153.22
5.69,149.43
5.7,151.32
5.71,151.32
5.72,151.32
5.73,149.43
5.74,153.22
5.75,149.43
5.76,151.32
5.77,151.32
5.78,151.32
5.79,149.43
5.8,153.22
5.81,149.43
5.82,153.22
5.83,149.43
5.84,151.32
5.85,151.32
5.86,151.32
5.87,149.43
5.88,153.22
5.89,149.43
5.9,151.32
5.91,151.32
5.92,151.32
5.93,149.43
5.94,153.22
5.95,149.43
5.96,151.32
5.97,151.32
5.98,151.32
5.99,151.32
6,151.32
6.01,149.43
6.02,151.32
6.03,151.32
6.04,151.32
6.05,151.32
6.06,151.32
6.07,149.43
6.08,153.22
6.09,149.43
6.1,153.22
6.11,149.43
6.12,151.32
6.13,151.32
6.14,151.32
6.15,151.32
6.16,151.32
6.17,149.43
6.18,153.22
6.19,149.43
6.2,151.32
6.21,151.32
6.22,151.32
6.23,151.32
6.24,151.32
6.25,149.43
6.26,151.32
6.27,151.32
6.28,151.32
6.29,149.43
6.3,153.22
6.31,149.43
6.32,151.32
6.33,151.32
6.34,151.32
6.35,149.43
6.36,153.22
6.37,149.43
6.38,151.32
6.39,151.32
6.4,151.32
6.41,151.32
6.42,151.32
6.43,149.43
6.44,153.22
6.45,149.43
6.46,151.32
6.47,151.32
6.48,151.32
6.49,151.32
6.5,151.32
6.51,149.43
6.52,151.32
6.53,151.32
6.54,151.32
6.55,151.32
6.56,151.32
6.57,151.32
6.58,151.32
6.59,149.43
6.6,153.22
6.61,149.43
6.62,153.22
6.63,149.43
6.64,151.32
6.65,149.43
6.66,153.22
6.67,149.43
6.68,151.32
6.69,151.32
6.7,151.32
6.71,151.32
6.72,151.32
6.73,149.43
6.74,153.22
6.75,149.43
6.76,151.32
6.77,151.32
6.78,151.32
6.79,151.32
6.8,151.32
6.81,151.32
6.82,149.43
6.83,151.32
6.84,151.32
6.85,151.32
6.86,151.32
6.87,149.43
6.88,153.22
6.89,149.43
6.9,153.22
6.91,149.43
6.92,151.32
6.93,151.32
6.94,151.32
6.95,151.32
6.96,151.32
6.97,151.32
6.98,149.43
6.99,153.22
7,149.43
7.01,151.32
7.02,151.32
7.03,151.32
7.04,151.32
7.05,149.43
7.06,153.22
7.07,149.43
7.08,151.32
7.09,151.32
7.1,151.32
7.11,151.32
7.12,151.32
7.13,151.32
7.14,151.32
7.15,151.32
7.16,149.43
7.17,153.22
7.18,149.43
7.19,151.32
7.2,151.32
7.21,149.43
7.22,153.22
7.23,149.43
7.24,151.32
7.25,151.32
7.26,151.32
7.27,151.32
7.28,149.43
7.29,153.22
7.3,149.43
7.31,153.22
7.32,149.43
7.33,151.32
7.34,151.32
7.35,149.43
7.36,151.32
7.37,151.32
7.38,151.32
7.39,151.32
7.4,151.32
7.41,151.32
7.42,151.32
7.43,151.32
7.44,149.43
7.45,151.32
7.46,151.32
7.47,151.32
7.48,151.32
7.49,149.43
7.5,153.22
7.51,149.43
7.52,151.32
7.53,151.32
7.54,151.32
7.55,151.32
7.56,151.32
7.57,151.32
7.58,149.43
7.59,153.22
7.6,149.43
7.61,153.22
7.62,149.43
7.63,151.32
7.64,151.32
7.65,151.32
7.66,151.32
7.67,151.32
7.68,149.43
7.69,153.22
7.7,149.43
7.71,151.32
7.72,151.32
7.73,151.32
7.74,151.32
7.75,151.32
7.76,149.43
7.77,151.32
7.78,151.32
7.79,151.32
7.8,151.32
7.81,151.32
7.82,149.43
7.83,153.22
7.84,149.43
7.85,153.22
7.86,149.43
7.87,151.32
7.88,151.32
7.89,151.32
7.9,151.32
7.91,151.32
7.92,149.43
7.93,151.32
7.94,151.32
7.95,151.32
7.96,151.32
7.97,151.32
7.98,151.32
7.99,151.32
8,149.43
8.01,151.32
8.02,151.32
8.03,151.32
8.04,151.32
8.05,151.32
8.06,151.32
8.07,149.43
8.08,151.32
8.09,151.32
8.1,151.32
8.11,151.32
8.12,149.43
8.13,151.32
8.14,151.32
8.15,151.32
8.16,149.43
8.17,153.22
8.18,149.43
8.19,151.32
8.2,151.32
8.21,151.32
8.22,149.43
8.23,151.32
8.24,151.32
8.25,151.32
8.26,151.32
8.27,151.32
8.28,149.43
8.29,153.22
8.3,149.43
8.31,153.22
8.32,149.43
8.33,151.32
8.34,151.32
8.35,149.43
8.36,153.22
8.37,149.43
8.38,151.32
8.39,151.32
8.4,151.32
8.41,151.32
8.42,151.32
8.43,151.32
8.44,149.43
8.45,153.22
8.46,149.43
8.47,151.32
8.48,151.32
8.49,151.32
8.5,151.32
8.51,151.32
8.52,149.43
8.53,153.22
8.54,149.43
8.55,151.32
8.56,151.32
8.57,151.32
8.58,151.32
8.59,151.32
8.6,151.32
8.61,151.32
8.62,151.32
8.63,151.32
8.64,151.32
8.65,149.43
8.66,153.22
8.67,149.43
8.68,153.22
8.69,149.43
8.7,151.32
8.71,151.32
8.72,151.32
8.73,151.32
8.74,149.43
8.75,153.22
8.76,149.43
8.77,153.22
8.78,149.43
8.79,151.32
8.8,151.32
8.81,151.32
8.82,151.32
8.83,149.43
8.84,153.22
8.85,149.43
8.86,153.22
8.87,149.43
8.88,151.32
8.89,151.32
8.9,149.43
8.91,151.32
8.92,151.32
8.93,151.32
8.94,151.32
8.95,151.32
8.96,151.32
8.97,149.43
8.98,153.22
8.99,149.43
9,151.32
9.01,151.32
9.02,149.43
9.03,153.22
9.04,149.43
9.05,151.32
9.06,151.32
9.07,151.32
9.08,151.32
9.09,151.32
9.1,151.32
9.11,149.43
9.12,153.22
9.13,149.43
9.14,153.22
9.15,149.43
9.16,151.32
9.17,151.32
9.18,151.32
9.19,151.32
9.2,151.32
9.21,149.43
9.22,153.22
9.23,149.43
9.24,151.32
9.25,151.32
9.26,151.32
9.27,149.43
9.28,153.22
9.29,149.43
9.3,151.32
9.31,151.32
9.32,151.32
9.33,151.32
9.34,151.32
9.35,149.43
9.36,153.22
9.37,149.43
9.38,151.32
9.39,151.32
9.4,151.32
9.41,149.43
9.42,153.22
9.43,149.43
9.44,153.22
9.45,149.43
9.46,151.32
9.47,151.32
9.48,151.32
9.49,149.43
